review,sentiment_label,sentiment_score,identified_theme
I cannot send to cbebirr app. through this app.,negative,0.9953354001045227,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
not functional,negative,0.999778687953949,"app, good, good app, nice, cbe"
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",negative,0.9905162453651428,"app, good, good app, nice, cbe"
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,negative,0.9616847634315491,"app, good, good app, nice, cbe"
best,positive,0.9997941851615906,"app, good, good app, nice, cbe"
bezabih,positive,0.9654072523117065,"app, good, good app, nice, cbe"
Best Mobile Banking app ever,positive,0.9997294545173645,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,negative,0.9981192946434021,"app, good, good app, nice, cbe"
dedeb,negative,0.9974835515022278,"app, good, good app, nice, cbe"
Good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
👌👍,negative,0.6970565915107727,"app, good, good app, nice, cbe"
very niec,positive,0.5192620754241943,"app, good, good app, nice, cbe"
best app of finance,positive,0.9996503591537476,"app, good, good app, nice, cbe"
yetemeta,positive,0.6553664803504944,"app, good, good app, nice, cbe"
Engida Kebede Fetera,negative,0.8396738767623901,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
it is not safety,negative,0.9997867941856384,"app, good, good app, nice, cbe"
NICE bank,positive,0.9998055100440979,"app, good, good app, nice, cbe"
it is like a childish app make it better the worst I have ever seen,negative,0.9997958540916443,"app, good, good app, nice, cbe"
"It's a problem solver application, go ahead CBE, I love so much.",positive,0.9997678399085999,"app, good, good app, nice, cbe"
It's good but try to make it facilitate for your client,positive,0.9491767883300781,"app, good, good app, nice, cbe"
best app,positive,0.999686598777771,"app, good, good app, nice, cbe"
Awesome bank,positive,0.9998461008071899,"app, good, good app, nice, cbe"
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,negative,0.9983141422271729,"app, good, good app, nice, cbe"
