review,rating,date,bank,source,sentiment_label,sentiment_score,sentiment_category
I cannot send to cbebirr app. through this app.,3,2025-06-05,Combanketh,Google Play,NEGATIVE,0.9953354001045227,negative
good,4,2025-06-05,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
not functional,1,2025-06-05,Combanketh,Google Play,NEGATIVE,0.999778687953949,negative
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Combanketh,Google Play,NEGATIVE,0.9905162453651428,negative
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Combanketh,Google Play,NEGATIVE,0.9616847634315491,negative
best,5,2025-06-04,Combanketh,Google Play,POSITIVE,0.9997941851615906,positive
bezabih,5,2025-06-04,Combanketh,Google Play,POSITIVE,0.9654072523117065,positive
Best Mobile Banking app ever,5,2025-06-04,Combanketh,Google Play,POSITIVE,0.9997294545173645,positive
good,5,2025-06-04,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Combanketh,Google Play,NEGATIVE,0.9981192946434021,negative
dedeb,5,2025-06-04,Combanketh,Google Play,NEGATIVE,0.9974835515022278,negative
Good,5,2025-06-04,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
👌👍,5,2025-06-04,Combanketh,Google Play,NEGATIVE,0.6970565915107727,negative
very niec,5,2025-06-04,Combanketh,Google Play,POSITIVE,0.5192620754241943,neutral
best app of finance,5,2025-06-04,Combanketh,Google Play,POSITIVE,0.9996503591537476,positive
yetemeta,1,2025-06-03,Combanketh,Google Play,POSITIVE,0.6553664803504944,positive
Engida Kebede Fetera,5,2025-06-03,Combanketh,Google Play,NEGATIVE,0.8396738767623901,negative
good,5,2025-06-03,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
it is not safety,1,2025-06-03,Combanketh,Google Play,NEGATIVE,0.9997867941856384,negative
NICE bank,5,2025-06-03,Combanketh,Google Play,POSITIVE,0.9998055100440979,positive
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Combanketh,Google Play,NEGATIVE,0.9997958540916443,negative
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Combanketh,Google Play,POSITIVE,0.9997678399085999,positive
It's good but try to make it facilitate for your client,4,2025-06-02,Combanketh,Google Play,POSITIVE,0.9491767883300781,positive
best app,5,2025-06-01,Combanketh,Google Play,POSITIVE,0.999686598777771,positive
Awesome bank,5,2025-06-01,Combanketh,Google Play,POSITIVE,0.9998461008071899,positive
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Combanketh,Google Play,NEGATIVE,0.9983141422271729,negative
Masha alla,5,2025-05-31,Combanketh,Google Play,NEGATIVE,0.9514626860618591,negative
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Combanketh,Google Play,NEGATIVE,0.9991102814674377,negative
better service,5,2025-05-31,Combanketh,Google Play,POSITIVE,0.9982219338417053,positive
"it,s good app and time manager 👍",5,2025-05-30,Combanketh,Google Play,POSITIVE,0.9998370409011841,positive
malkaamuu Jiidhaa Namoo,5,2025-05-30,Combanketh,Google Play,NEGATIVE,0.9887813329696655,negative
lower system everything,3,2025-05-30,Combanketh,Google Play,NEGATIVE,0.9993475079536438,negative
Nice!,5,2025-05-30,Combanketh,Google Play,POSITIVE,0.999863862991333,positive
Keep it up My CBE,5,2025-05-29,Combanketh,Google Play,POSITIVE,0.9996104836463928,positive
yes good,5,2025-05-28,Combanketh,Google Play,POSITIVE,0.9998410940170288,positive
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Combanketh,Google Play,NEGATIVE,0.9996353387832642,negative
i like everything of this app,5,2025-05-27,Combanketh,Google Play,POSITIVE,0.9996908903121948,positive
good,5,2025-05-27,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Combanketh,Google Play,NEGATIVE,0.685613214969635,negative
Best,5,2025-05-26,Combanketh,Google Play,POSITIVE,0.9997941851615906,positive
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Combanketh,Google Play,POSITIVE,0.9982792139053345,positive
nice,5,2025-05-26,Combanketh,Google Play,POSITIVE,0.9998552799224854,positive
good job,5,2025-05-26,Combanketh,Google Play,POSITIVE,0.999835729598999,positive
Good,5,2025-05-25,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
it's awesome!!,5,2025-05-25,Combanketh,Google Play,POSITIVE,0.999871015548706,positive
best,5,2025-05-25,Combanketh,Google Play,POSITIVE,0.9997941851615906,positive
thankyou every one,5,2025-05-25,Combanketh,Google Play,POSITIVE,0.9998461008071899,positive
best app,5,2025-05-25,Combanketh,Google Play,POSITIVE,0.999686598777771,positive
Ronaldo 🇵🇹 🥇,5,2025-05-25,Combanketh,Google Play,POSITIVE,0.9948286414146423,positive
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Combanketh,Google Play,POSITIVE,0.9998852014541626,positive
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Combanketh,Google Play,NEGATIVE,0.9997394680976868,negative
mortuary app,5,2025-05-25,Combanketh,Google Play,NEGATIVE,0.7924914956092834,negative
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Combanketh,Google Play,NEGATIVE,0.9961044788360596,negative
amazing app I am used this app for one year,4,2025-05-24,Combanketh,Google Play,POSITIVE,0.9991408586502075,positive
👍,5,2025-05-24,Combanketh,Google Play,NEGATIVE,0.6970565915107727,negative
good app,5,2025-05-24,Combanketh,Google Play,POSITIVE,0.9998493194580078,positive
i love it 😍😘,5,2025-05-24,Combanketh,Google Play,POSITIVE,0.9998791217803955,positive
It makes life easy!👌,5,2025-05-24,Combanketh,Google Play,POSITIVE,0.9993600249290466,positive
its not fast,1,2025-05-24,Combanketh,Google Play,NEGATIVE,0.9949808716773987,negative
wow,4,2025-05-24,Combanketh,Google Play,POSITIVE,0.999592125415802,positive
it is sooo good,5,2025-05-24,Combanketh,Google Play,POSITIVE,0.9998735189437866,positive
excellent,5,2025-05-24,Combanketh,Google Play,POSITIVE,0.9998434782028198,positive
ok,1,2025-05-24,Combanketh,Google Play,POSITIVE,0.9997851252555847,positive
Fantastic,5,2025-05-23,Combanketh,Google Play,POSITIVE,0.9998743534088135,positive
accessible to using,5,2025-05-23,Combanketh,Google Play,POSITIVE,0.999116837978363,positive
I like it,4,2025-05-23,Combanketh,Google Play,POSITIVE,0.9998593330383301,positive
good,5,2025-05-23,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
why you change default network?,5,2025-05-23,Combanketh,Google Play,NEGATIVE,0.9962357878684998,negative
very nice 👍,5,2025-05-23,Combanketh,Google Play,POSITIVE,0.9998577833175659,positive
nice fast app,5,2025-05-23,Combanketh,Google Play,POSITIVE,0.999833345413208,positive
best,5,2025-05-23,Combanketh,Google Play,POSITIVE,0.9997941851615906,positive
how to I get my money,5,2025-05-23,Combanketh,Google Play,NEGATIVE,0.9934091567993164,negative
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Combanketh,Google Play,NEGATIVE,0.9998165965080261,negative
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Combanketh,Google Play,POSITIVE,0.9649853706359863,positive
very busy I don't know why... I prefer 889,3,2025-05-22,Combanketh,Google Play,NEGATIVE,0.9991938471794128,negative
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Combanketh,Google Play,NEGATIVE,0.9966771602630615,negative
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Combanketh,Google Play,NEGATIVE,0.9986202716827393,negative
hojii bonsaadha,5,2025-05-22,Combanketh,Google Play,POSITIVE,0.9568661451339722,positive
ok,5,2025-05-22,Combanketh,Google Play,POSITIVE,0.9997851252555847,positive
user-friendly apps.because this app is easy.,5,2025-05-22,Combanketh,Google Play,POSITIVE,0.955450713634491,positive
Awosome!!!,5,2025-05-22,Combanketh,Google Play,POSITIVE,0.6944916844367981,positive
"Very good app,",5,2025-05-22,Combanketh,Google Play,POSITIVE,0.9998691082000732,positive
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Combanketh,Google Play,NEGATIVE,0.992516815662384,negative
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,Combanketh,Google Play,POSITIVE,0.9997020363807678,positive
I hate this app 😒,1,2025-05-22,Combanketh,Google Play,NEGATIVE,0.9996378421783447,negative
trustful,5,2025-05-22,Combanketh,Google Play,POSITIVE,0.9998213648796082,positive
I like,5,2025-05-22,Combanketh,Google Play,POSITIVE,0.9998149275779724,positive
update issue,4,2025-05-22,Combanketh,Google Play,POSITIVE,0.5473260283470154,neutral
its not working over safari network,1,2025-05-22,Combanketh,Google Play,NEGATIVE,0.9991377592086792,negative
oldie,1,2025-05-22,Combanketh,Google Play,NEGATIVE,0.6663177013397217,negative
it doesn't work,1,2025-05-21,Combanketh,Google Play,NEGATIVE,0.9997813105583191,negative
best,5,2025-05-21,Combanketh,Google Play,POSITIVE,0.9997941851615906,positive
"This app is good, and we are using it well",1,2025-05-21,Combanketh,Google Play,POSITIVE,0.999855637550354,positive
ok,5,2025-05-21,Combanketh,Google Play,POSITIVE,0.9997851252555847,positive
best app,5,2025-05-21,Combanketh,Google Play,POSITIVE,0.999686598777771,positive
very nice 👌 app for android phone,5,2025-05-21,Combanketh,Google Play,POSITIVE,0.9994401335716248,positive
good app,5,2025-05-21,Combanketh,Google Play,POSITIVE,0.9998493194580078,positive
Yes Yes,5,2025-05-21,Combanketh,Google Play,POSITIVE,0.9997482895851135,positive
በጣም ከርፋፋ,1,2025-05-21,Combanketh,Google Play,NEGATIVE,0.7850590348243713,negative
easy to use helpful in my life,5,2025-05-21,Combanketh,Google Play,POSITIVE,0.9981144666671753,positive
good 👍,4,2025-05-21,Combanketh,Google Play,POSITIVE,0.9998576641082764,positive
the best mobile banking app,5,2025-05-21,Combanketh,Google Play,POSITIVE,0.9998278617858887,positive
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,Combanketh,Google Play,POSITIVE,0.9992597699165344,positive
ok,2,2025-05-21,Combanketh,Google Play,POSITIVE,0.9997851252555847,positive
it's a good application 👍,5,2025-05-21,Combanketh,Google Play,POSITIVE,0.9998123049736023,positive
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,Combanketh,Google Play,NEGATIVE,0.9997513890266418,negative
poor service,1,2025-05-21,Combanketh,Google Play,NEGATIVE,0.9996534585952759,negative
amazing,5,2025-05-20,Combanketh,Google Play,POSITIVE,0.999875545501709,positive
it is reliable and easy to use.,5,2025-05-20,Combanketh,Google Play,POSITIVE,0.9998389482498169,positive
the most annoying mobile banking app I've ever seen,1,2025-05-20,Combanketh,Google Play,NEGATIVE,0.9994208812713623,negative
Eliasmels,5,2025-05-20,Combanketh,Google Play,NEGATIVE,0.5762405395507812,neutral
Cbe mobile banking,5,2025-05-20,Combanketh,Google Play,POSITIVE,0.8304281234741211,positive
"i can't make Screenshout in this app, please made modification",5,2025-05-20,Combanketh,Google Play,NEGATIVE,0.9966920614242554,negative
Best app I loved it,5,2025-05-19,Combanketh,Google Play,POSITIVE,0.999849796295166,positive
nice app,5,2025-05-19,Combanketh,Google Play,POSITIVE,0.9998061060905457,positive
wow,5,2025-05-18,Combanketh,Google Play,POSITIVE,0.999592125415802,positive
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,Combanketh,Google Play,NEGATIVE,0.6448812484741211,negative
well satisfied with this beautiful app,5,2025-05-18,Combanketh,Google Play,POSITIVE,0.9998588562011719,positive
very good,4,2025-05-17,Combanketh,Google Play,POSITIVE,0.9998520612716675,positive
best app.,5,2025-05-17,Combanketh,Google Play,POSITIVE,0.999774158000946,positive
good,5,2025-05-17,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
"not working,why???",5,2025-05-17,Combanketh,Google Play,NEGATIVE,0.9995881915092468,negative
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,Combanketh,Google Play,NEGATIVE,0.9841780066490173,negative
excellent,5,2025-05-17,Combanketh,Google Play,POSITIVE,0.9998434782028198,positive
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,Combanketh,Google Play,NEGATIVE,0.9996201992034912,negative
woxe harimo ribiso,5,2025-05-17,Combanketh,Google Play,NEGATIVE,0.9374371767044067,negative
good,5,2025-05-16,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
"Good ,easy to use",5,2025-05-16,Combanketh,Google Play,POSITIVE,0.9998592138290405,positive
Good app,5,2025-05-15,Combanketh,Google Play,POSITIVE,0.9998493194580078,positive
Good job👍,5,2025-05-14,Combanketh,Google Play,POSITIVE,0.9998576641082764,positive
good,5,2025-05-14,Combanketh,Google Play,POSITIVE,0.9998161196708679,positive
nice,5,2025-05-14,Combanketh,Google Play,POSITIVE,0.9998552799224854,positive
