review,rating,date,bank,source,cleaned_review,theme_cluster
I cannot send to cbebirr app. through this app.,3,2025-06-05,Combanketh,Google Play,send cbebirr app app,4
good,4,2025-06-05,Combanketh,Google Play,good,3
not functional,1,2025-06-05,Combanketh,Google Play,functional,4
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Combanketh,Google Play,everytime uninstall app reach physically oldy security layer check fraud attempt app source app store play store etc implicitly physical presence app install rare,4
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Combanketh,Google Play,አካውንት የምናስገባበት ጽፈን ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር አዲስ አካውንቶች ብለዉ የሚጀምሩ በዝተዋል አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4
best,5,2025-06-04,Combanketh,Google Play,well,4
bezabih,5,2025-06-04,Combanketh,Google Play,bezabih,4
Best Mobile Banking app ever,5,2025-06-04,Combanketh,Google Play,good mobile banking app,4
good,5,2025-06-04,Combanketh,Google Play,good,3
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Combanketh,Google Play,good app issue like right bank issue transfer,4
dedeb,5,2025-06-04,Combanketh,Google Play,dedeb,4
Good,5,2025-06-04,Combanketh,Google Play,good,3
👌👍,5,2025-06-04,Combanketh,Google Play,,4
very niec,5,2025-06-04,Combanketh,Google Play,niec,4
best app of finance,5,2025-06-04,Combanketh,Google Play,good app finance,4
yetemeta,1,2025-06-03,Combanketh,Google Play,yetemeta,4
Engida Kebede Fetera,5,2025-06-03,Combanketh,Google Play,engida kebede fetera,4
good,5,2025-06-03,Combanketh,Google Play,good,3
it is not safety,1,2025-06-03,Combanketh,Google Play,safety,4
NICE bank,5,2025-06-03,Combanketh,Google Play,nice bank,4
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Combanketh,Google Play,like childish app well bad see,4
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Combanketh,Google Play,problem solver application ahead cbe love,4
It's good but try to make it facilitate for your client,4,2025-06-02,Combanketh,Google Play,good try facilitate client,4
best app,5,2025-06-01,Combanketh,Google Play,good app,3
Awesome bank,5,2025-06-01,Combanketh,Google Play,awesome bank,4
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Combanketh,Google Play,app develop good way comment need prevent screenshot likely good like coz need screenshot quick evidence good access recent transaction history day coz bank person old transaction add colander category user easily access old transaction colander,4
Masha alla,5,2025-05-31,Combanketh,Google Play,masha alla,4
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Combanketh,Google Play,recently big problem send safaricom telebir cbebirr wallet anybody responsible fix frustrating day money return take account send mpesa correct send money afraid send,2
better service,5,2025-05-31,Combanketh,Google Play,well service,4
"it,s good app and time manager 👍",5,2025-05-30,Combanketh,Google Play,good app time manager,4
malkaamuu Jiidhaa Namoo,5,2025-05-30,Combanketh,Google Play,malkaamuu jiidhaa namoo,4
lower system everything,3,2025-05-30,Combanketh,Google Play,low system,4
Nice!,5,2025-05-30,Combanketh,Google Play,nice,4
Keep it up My CBE,5,2025-05-29,Combanketh,Google Play,cbe,4
yes good,5,2025-05-28,Combanketh,Google Play,yes good,4
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Combanketh,Google Play,app year problem stop work month ago try transfer fund give error transaction inactive account,4
i like everything of this app,5,2025-05-27,Combanketh,Google Play,like app,4
good,5,2025-05-27,Combanketh,Google Play,good,3
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Combanketh,Google Play,network,4
Best,5,2025-05-26,Combanketh,Google Play,well,4
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Combanketh,Google Play,cbe good financial application dimple use like thank developer application appreciate app,4
nice,5,2025-05-26,Combanketh,Google Play,nice,4
